source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
312608009,0,SYNTHEA,Laceration - injury (disorder),443419,SNOMED,1970-01-01,2099-12-31,
66383009,0,SYNTHEA,Gingivitis (disorder),4281516,SNOMED,1970-01-01,2099-12-31,
431857002,0,SYNTHEA,Chronic kidney disease stage 4 (disorder),443612,SNOMED,1970-01-01,2099-12-31,
224299000,0,SYNTHEA,Received higher education (finding),4076230,SNOMED,1970-01-01,2099-12-31,
132281000119108,0,SYNTHEA,Acute deep venous thrombosis (disorder),44782746,SNOMED,1970-01-01,2099-12-31,
840544004,0,SYNTHEA,Suspected disease caused by Severe acute respiratory coronavirus 2 (situation),37311060,SNOMED,1970-01-01,2099-12-31,
237602007,0,SYNTHEA,Metabolic syndrome X (disorder),436940,SNOMED,1970-01-01,2099-12-31,
248595008,0,SYNTHEA,Sputum finding (finding),4089228,SNOMED,1970-01-01,2099-12-31,
422650009,0,SYNTHEA,Social isolation (finding),4309238,SNOMED,1970-01-01,2099-12-31,
271737000,0,SYNTHEA,Anemia (disorder),439777,SNOMED,1970-01-01,2099-12-31,
160903007,0,SYNTHEA,Full-time employment (finding),4053118,SNOMED,1970-01-01,2099-12-31,
1290882004,0,SYNTHEA,History of seizure (situation),4327587,SNOMED,1970-01-01,2099-12-31,
278860009,0,SYNTHEA,Chronic low back pain (finding),4132891,SNOMED,1970-01-01,2099-12-31,
195662009,0,SYNTHEA,Acute viral pharyngitis (disorder),4112343,SNOMED,1970-01-01,2099-12-31,
39848009,0,SYNTHEA,Whiplash injury to neck (disorder),4218389,SNOMED,1970-01-01,2099-12-31,
444814009,0,SYNTHEA,Viral sinusitis (disorder),40481087,SNOMED,1970-01-01,2099-12-31,
127013003,0,SYNTHEA,Disorder of kidney due to diabetes mellitus (disorder),192279,SNOMED,1970-01-01,2099-12-31,
92691004,0,SYNTHEA,Carcinoma in situ of prostate (disorder),200970,SNOMED,1970-01-01,2099-12-31,
160904001,0,SYNTHEA,Part-time employment (finding),4059634,SNOMED,1970-01-01,2099-12-31,
55680006,0,SYNTHEA,Drug overdose,4168122,SNOMED,1970-01-01,2099-12-31,
37320007,0,SYNTHEA,Loss of teeth (disorder),434073,SNOMED,1970-01-01,2099-12-31,
314529007,0,SYNTHEA,Medication review due (situation),4199788,SNOMED,1970-01-01,2099-12-31,
59621000,0,SYNTHEA,Essential hypertension (disorder),320128,SNOMED,1970-01-01,2099-12-31,
840539006,0,SYNTHEA,Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder),37311061,SNOMED,1970-01-01,2099-12-31,
741062008,0,SYNTHEA,Not in labor force (finding),42538208,SNOMED,1970-01-01,2099-12-31,
109570002,0,SYNTHEA,Primary dental caries (disorder),40274283,SNOMED,1970-01-01,2099-12-31,
80583007,0,SYNTHEA,Severe anxiety (panic) (finding),4214746,SNOMED,1970-01-01,2099-12-31,
73595000,0,SYNTHEA,Stress (finding),4251306,SNOMED,1970-01-01,2099-12-31,
384709000,0,SYNTHEA,Sprain (morphologic abnormality),4298490,SNOMED,1970-01-01,2099-12-31,
44054006,0,SYNTHEA,Diabetes mellitus type 2 (disorder),201826,SNOMED,1970-01-01,2099-12-31,
44465007,0,SYNTHEA,Sprain of ankle (disorder),81151,SNOMED,1970-01-01,2099-12-31,
161665007,0,SYNTHEA,History of renal transplant (situation),4086308,SNOMED,1970-01-01,2099-12-31,
386661006,0,SYNTHEA,Fever (finding),437663,SNOMED,1970-01-01,2099-12-31,
18718003,0,SYNTHEA,Gingival disease (disorder),4090111,SNOMED,1970-01-01,2099-12-31,
6525002,0,SYNTHEA,Dependent drug abuse (disorder),4275756,SNOMED,1970-01-01,2099-12-31,
160968000,0,SYNTHEA,Risk activity involvement (finding),4059650,SNOMED,1970-01-01,2099-12-31,
10509002,0,SYNTHEA,Acute bronchitis (disorder),260139,SNOMED,1970-01-01,2099-12-31,
105531004,0,SYNTHEA,Housing unsatisfactory (finding),4022661,SNOMED,1970-01-01,2099-12-31,
427898007,0,SYNTHEA,Infection of tooth (disorder),4322737,SNOMED,1970-01-01,2099-12-31,
302870006,0,SYNTHEA,Hypertriglyceridemia (disorder),4120314,SNOMED,1970-01-01,2099-12-31,
68496003,0,SYNTHEA,Polyp of colon (disorder),4285898,SNOMED,1970-01-01,2099-12-31,
49727002,0,SYNTHEA,Cough (finding),254761,SNOMED,1970-01-01,2099-12-31,
58150001,0,SYNTHEA,Fracture of clavicle (disorder),4237458,SNOMED,1970-01-01,2099-12-31,
266934004,0,SYNTHEA,Transport problem (finding),4141789,SNOMED,1970-01-01,2099-12-31,
162864005,0,SYNTHEA,Body mass index 30+ - obesity (finding),4060985,SNOMED,1970-01-01,2099-12-31,
446654005,0,SYNTHEA,Refugee (person),40488824,SNOMED,1970-01-01,2099-12-31,
706893006,0,SYNTHEA,Victim of intimate partner abuse (finding),45768458,SNOMED,1970-01-01,2099-12-31,
157141000119108,0,SYNTHEA,Proteinuria due to type 2 diabetes mellitus (disorder),45757499,SNOMED,1970-01-01,2099-12-31,
73438004,0,SYNTHEA,Unemployed (finding),4251171,SNOMED,1970-01-01,2099-12-31,
424393004,0,SYNTHEA,Reports of violence in the environment (finding),4313322,SNOMED,1970-01-01,2099-12-31,
274531002,0,SYNTHEA,Abnormal findings diagnostic imaging heart+coronary circulat (finding),435081,SNOMED,1970-01-01,2099-12-31,
70704007,0,SYNTHEA,Sprain of wrist (disorder),78272,SNOMED,1970-01-01,2099-12-31,
263102004,0,SYNTHEA,Fracture subluxation of wrist (disorder),4134304,SNOMED,1970-01-01,2099-12-31,
196416002,0,SYNTHEA,Impacted molars (disorder),4055754,SNOMED,1970-01-01,2099-12-31,
433144002,0,SYNTHEA,Chronic kidney disease stage 3 (disorder),443597,SNOMED,1970-01-01,2099-12-31,
713458007,0,SYNTHEA,Lack of access to transportation (finding),37017222,SNOMED,1970-01-01,2099-12-31,
65966004,0,SYNTHEA,Fracture of forearm (disorder),4278672,SNOMED,1970-01-01,2099-12-31,
714628002,0,SYNTHEA,Prediabetes (finding),37018196,SNOMED,1970-01-01,2099-12-31,
278558000,0,SYNTHEA,Dental filling lost (finding),4133198,SNOMED,1970-01-01,2099-12-31,
414545008,0,SYNTHEA,Ischemic heart disease (disorder),4185932,SNOMED,1970-01-01,2099-12-31,
156073000,0,SYNTHEA,Complete miscarriage (disorder),40318618,SNOMED,1970-01-01,2099-12-31,
48333001,0,SYNTHEA,Burn injury (morphologic abnormality),4168004,SNOMED,1970-01-01,2099-12-31,
361055000,0,SYNTHEA,Misuses drugs (finding),4234597,SNOMED,1970-01-01,2099-12-31,
110030002,0,SYNTHEA,Concussion injury of brain (disorder),4001336,SNOMED,1970-01-01,2099-12-31,
185086009,0,SYNTHEA,Chronic obstructive bronchitis (disorder),258780,SNOMED,1970-01-01,2099-12-31,
90460009,0,SYNTHEA,Injury of neck (disorder),24818,SNOMED,1970-01-01,2099-12-31,
224295006,0,SYNTHEA,Only received primary school education (finding),4072733,SNOMED,1970-01-01,2099-12-31,
267020005,0,SYNTHEA,History of tubal ligation (situation),37109309,SNOMED,1970-01-01,2099-12-31,
428251008,0,SYNTHEA,History of appendectomy (situation),44804504,SNOMED,1970-01-01,2099-12-31,
278602001,0,SYNTHEA,Loose dental filling (finding),4133348,SNOMED,1970-01-01,2099-12-31,
233678006,0,SYNTHEA,Childhood asthma (disorder),4051466,SNOMED,1970-01-01,2099-12-31,
16114001,0,SYNTHEA,Fracture of ankle (disorder),4059173,SNOMED,1970-01-01,2099-12-31,
431856006,0,SYNTHEA,Chronic kidney disease stage 2 (disorder),443601,SNOMED,1970-01-01,2099-12-31,
183996000,0,SYNTHEA,Sterilization requested (situation),4086788,SNOMED,1970-01-01,2099-12-31,
62106007,0,SYNTHEA,Concussion with no loss of consciousness (disorder),378001,SNOMED,1970-01-01,2099-12-31,
431855005,0,SYNTHEA,Chronic kidney disease stage 1 (disorder),443614,SNOMED,1970-01-01,2099-12-31,
90781000119102,0,SYNTHEA,Microalbuminuria due to type 2 diabetes mellitus (disorder),45769905,SNOMED,1970-01-01,2099-12-31,
