code,description,frequency
55822004,Hyperlipidemia (disorder),10
19169002,Miscarriage in first trimester (disorder),10
278598003,Leaking dental filling (finding),10
124171000119105,Chronic intractable migraine without aura (disorder),10
399261000,History of coronary artery bypass grafting (situation),10
840544004,Suspected disease caused by Severe acute respiratory coronavirus 2 (situation),9
840539006,Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder),9
6525002,Dependent drug abuse (disorder),9
1121000119107,Chronic neck pain (finding),9
36971009,Sinusitis (disorder),9
75498004,Acute bacterial sinusitis (disorder),9
196416002,Impacted molars (disorder),8
224295006,Only received primary school education (finding),8
62106007,Concussion with no loss of consciousness (disorder),8
386661006,Fever (finding),8
68496003,Polyp of colon (disorder),7
446654005,Refugee (person),7
44054006,Diabetes mellitus type 2 (disorder),7
302870006,Hypertriglyceridemia (disorder),7
49727002,Cough (finding),7
157141000119108,Proteinuria due to type 2 diabetes mellitus (disorder),7
156073000,Complete miscarriage (disorder),7
428251008,History of appendectomy (situation),6
433144002,Chronic kidney disease stage 3 (disorder),6
48333001,Burn injury (morphologic abnormality),6
16114001,Fracture of ankle (disorder),6
161665007,History of renal transplant (situation),5
58150001,Fracture of clavicle (disorder),5
70704007,Sprain of wrist (disorder),5
65966004,Fracture of forearm (disorder),5
90460009,Injury of neck (disorder),4
183996000,Sterilization requested (situation),4
263102004,Fracture subluxation of wrist (disorder),4
185086009,Chronic obstructive bronchitis (disorder),4
233678006,Childhood asthma (disorder),4
248595008,Sputum finding (finding),4
39848009,Whiplash injury to neck (disorder),4
284551006,Laceration of foot (disorder),4
239873007,Osteoarthritis of knee (disorder),4
32911000,Homeless (finding),3
1187604002,Serving in military service (finding),3
370247008,Facial laceration (disorder),3
403192003,Full thickness burn (disorder),3
68962001,Muscle pain (finding),3
192127007,Child attention deficit disorder (disorder),3
1290882004,History of seizure (situation),3
267102003,Sore throat (finding),3
57676002,Joint pain (finding),3
398254007,Pre-eclampsia (disorder),3
283371005,Laceration of forearm (disorder),3
128613002,Seizure disorder (disorder),3
713197008,Recurrent rectal polyp (disorder),3
403190006,Epidermal burn of skin (disorder),3
283385000,Laceration of thigh (disorder),3
431857002,Chronic kidney disease stage 4 (disorder),3
401303003,Acute ST segment elevation myocardial infarction (disorder),3
39898005,Sleep disorder (disorder),3
284549007,Laceration of hand (disorder),3
26929004,Alzheimer's disease (disorder),3
91302008,Sepsis (disorder),3
78275009,Obstructive sleep apnea syndrome (disorder),3
61804006,Alveolitis of jaw (disorder),3
399211009,History of myocardial infarction (situation),3
87433001,Pulmonary emphysema (disorder),3
698306007,Awaiting transplantation of kidney (situation),3
1255252008,Resorption of alveolar process due to dental trauma (disorder),2
232353008,Perennial allergic rhinitis with seasonal variation (disorder),2
203082005,Fibromyalgia (disorder),2
271825005,Respiratory distress (finding),2
85116003,Miscarriage in second trimester (disorder),2
64859006,Osteoporosis (disorder),2
56018004,Wheezing (finding),2
25064002,Headache (finding),2
233604007,Pneumonia (disorder),2
239872002,Osteoarthritis of hip (disorder),2
43724002,Chill (finding),2
79586000,Tubal pregnancy (disorder),2
267253006,Fetus with chromosomal abnormality (disorder),2
443165006,Osteoporotic fracture of bone (disorder),2
22298006,Myocardial infarction (disorder),2
36955009,Loss of taste (finding),2
24079001,Atopic dermatitis (disorder),2
109838007,Overlapping malignant neoplasm of colon (disorder),2
84757009,Epilepsy (disorder),2
389087006,Hypoxemia (disorder),2
267036007,Dyspnea (finding),2
80394007,Hyperglycemia (disorder),2
88805009,Chronic congestive heart failure (disorder),1
262574004,Bullet wound (disorder),1
62564004,Concussion with loss of consciousness (disorder),1
230690007,Cerebrovascular accident (disorder),1
90560007,Inflammatory disorder due to increased blood urate level (disorder),1
770349000,Sepsis caused by virus (disorder),1
315268008,Suspected prostate cancer (situation),1
283545005,Gunshot wound (disorder),1
427419006,Transformed migraine (disorder),1
230265002,Familial Alzheimer's disease of early onset (disorder),1
241929008,Acute allergic reaction (disorder),1
363406005,Malignant neoplasm of colon (disorder),1
40095003,Injury of kidney (disorder),1
127294003,Traumatic or nontraumatic brain injury (disorder),1
706870000,Acute pulmonary embolism (disorder),1
254637007,Non-small cell lung cancer (disorder),1
213150003,Kidney transplant failure and rejection (disorder),1
65710008,Acute respiratory failure (disorder),1
86175003,Injury of heart (disorder),1
249497008,Vomiting symptom (finding),1
74400008,Appendicitis (disorder),1
446096008,Perennial allergic rhinitis (disorder),1
422587007,Nausea (finding),1
7200002,Alcoholism (disorder),1
67782005,Acute respiratory distress syndrome (disorder),1
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),1
49436004,Atrial fibrillation (disorder),1
35999006,Blighted ovum (disorder),1
370143000,Major depressive disorder (disorder),1
408512008,Body mass index 40+ - severely obese (finding),1
87628006,Bacterial infectious disease (disorder),1
132281000119108,Acute deep venous thrombosis (disorder),1
92691004,Carcinoma in situ of prostate (disorder),1
33737001,Fracture of rib (disorder),1
46177005,End-stage renal disease (disorder),1
47693006,Rupture of appendix (disorder),1
126906006,Neoplasm of prostate (disorder),1
84229001,Fatigue (finding),1
422034002,Retinopathy due to type 2 diabetes mellitus (disorder),1
198992004,Eclampsia in pregnancy (disorder),1
48724000,Mitral valve regurgitation (disorder),1
162573006,Suspected lung cancer (situation),1
